Category,Name,Price,Description,Base Calories,Max Calories
Late Night,Build Your Own Munchie Meal,8.71,"Pick between 1 of 4 different entrees, 2 sides and a drink to create your own Munchie Meal. We believe in the freedom of choice.",1130,2010
Tacos,Sauced & Loaded Tiny Tacos,5.0,"13 crunchy, bite-size Tiny Tacos loaded with cheddar cheese sauce, shredded lettuce & our signature taco sauce. Sometimes you need a lotta little tacos. ",680,
Tacos,Classic Tiny Tacos ,4.0,"13 crunchy, bite-size Tiny Tacos with a side of creamy avocado lime sauce. They're like little love letters to your mouth. ",530,
Tacos,2 Tacos for $0.99,0.99,"2 crunchy tacos with melty American cheese, shredded lettuce & our signature taco sauce. With tacos this delicious, it's always smart to carry a spare.",340,
Fries & Sides,Classic Sauced & Loaded Waffle Fries,4.0,"Jack's new Sauced & Loaded Waffle Fries, smothered with cheddar cheese and nacho cheese sauce, then topped with crumbled bacon & Buttermilk Ranch Drizzle.",540,
Fries & Sides,Spicy Sauced & Loaded Waffle Fries,4.0,"Jack's new Sauced & Loaded Waffle Fries, smothered with cheddar cheese and nacho cheese sauce, topped w/ crumbled bacon, jalapeños & Spicy Good Good Sauce.",550,
Fries & Sides,Classic Grilled Jack Wrap,3.29,"Grilled chicken strips, shredded lettuce, shredded cheddar, pickles, Good Good sauce & buttermilk ranch in a warm tortilla. That’s a good good snack.",290,
Fries & Sides,Spicy Grilled Jack Wrap,3.29,"Grilled chicken strips, shredded lettuce, shredded cheddar, jalapenos, Spicy Good Good sauce & buttermilk ranch in a warm tortilla. It’s good good!",290,
Fries & Sides,Classic Crispy Jack Wrap,3.29,"A chicken strip, shredded lettuce, shredded cheddar, pickles, Good Good sauce & buttermilk ranch dressing wrapped up in a warm tortilla. That’s a good good snack. ",380,
Fries & Sides,Spicy Crispy Jack Wrap,3.29,"A chicken strip, shredded lettuce, shredded cheddar, jalapenos, Spicy Good Good sauce & buttermilk ranch wrapped up in a warm tortilla. A spicy good snack!",380,
Fries & Sides,Stuffed Jalapenos (7),6.49,"Crispy breaded and fried jalapeños, stuffed with oozing melty cheese. Poems will be written about these.",510,
Fries & Sides,Stuffed Jalapenos (3),4.39,"Crispy breaded and fried jalapeños, stuffed with oozing melty cheese. Poems will be written about these.",220,
Fries & Sides,Curly Fries,4.39,"Perfectly seasoned, crispy curly fries. The type of item you're supposed to share, but we both know how this is going to go. ",,
Fries & Sides,French Fries,3.99,"Lightly salted, real potatoes fried to crispy perfection and served hot. The absolutely classic, perfect accompaniment to everything else on this menu. ",,
Fries & Sides,Halfsie Fries,3.0,"Half seasoned curly fries, half hot & salty French Fries. Because choosing between two awesome things is a hassle. ",390,
Fries & Sides,Onion Rings,4.99,"Panko breaded and fried to jaw-dropping perfection. You've had onion rings before, you say. But have you really? ",220,
Fries & Sides,Jumbo Egg Rolls (3),6.49,"Our egg rolls are filled with diced pork, cabbage, celery, carrots, onions & spices, with a side of sweet & sour sauce. You can't go wrong, really.",570,
Fries & Sides,Jumbo Egg Roll (1),3.59,"Our egg rolls are filled with diced pork, cabbage, celery, carrots, onions & spices, with a side of sweet & sour sauce. You can't go wrong, really.",210,
Shakes & Desserts,Oreo® Mint Shake,6.29,Feelin’ lucky? Treat yourself to Jack’s Mint Shake blended with Oreo® cookie crumbs finished with whipped topping and even more Oreo® cookie crumbs.,,
Shakes & Desserts,Oreo® Shake,6.29,Classic OREO® cookies pieces make this thick and creamy shake one of the best ways to have your milk and cookies. ,,
Shakes & Desserts,Vanilla Shake,5.99,A thick and creamy vanilla shake. It's old-school cool.,,
